,Prey Population,Predator Popualtion,Food Count,Ratio
0,300.0,50.0,100.0,6.0
1,286.0,50.0,84.0,5.72
2,285.0,50.0,87.0,5.7
3,279.0,50.0,90.0,5.58
4,274.0,50.0,94.0,5.48
5,263.0,50.0,86.0,5.26
6,256.0,51.0,93.0,5.019607843137255
7,254.0,51.0,89.0,4.980392156862745
8,250.0,51.0,86.0,4.901960784313726
9,244.0,51.0,97.0,4.784313725490196
10,238.0,51.0,93.0,4.666666666666667
11,232.0,51.0,94.0,4.549019607843137
12,231.0,52.0,94.0,4.4423076923076925
13,226.0,52.0,95.0,4.346153846153846
14,221.0,52.0,92.0,4.25
15,216.0,52.0,93.0,4.153846153846154
16,210.0,52.0,94.0,4.038461538461538
17,204.0,52.0,93.0,3.923076923076923
18,195.0,53.0,94.0,3.6792452830188678
19,192.0,53.0,93.0,3.6226415094339623
20,189.0,53.0,94.0,3.5660377358490565
21,187.0,53.0,92.0,3.5283018867924527
22,182.0,53.0,95.0,3.4339622641509435
23,178.0,53.0,95.0,3.358490566037736
24,176.0,54.0,95.0,3.259259259259259
25,171.0,54.0,94.0,3.1666666666666665
26,164.0,54.0,90.0,3.037037037037037
27,159.0,54.0,94.0,2.9444444444444446
28,156.0,54.0,96.0,2.888888888888889
29,153.0,54.0,97.0,2.8333333333333335
30,150.0,55.0,95.0,2.727272727272727
31,151.0,55.0,98.0,2.7454545454545456
32,148.0,55.0,95.0,2.690909090909091
33,145.0,55.0,94.0,2.6363636363636362
34,141.0,55.0,95.0,2.5636363636363635
35,138.0,55.0,97.0,2.5090909090909093
36,137.0,55.0,96.0,2.4909090909090907
37,133.0,55.0,95.0,2.418181818181818
38,129.0,55.0,97.0,2.3454545454545452
39,127.0,55.0,95.0,2.309090909090909
40,126.0,55.0,96.0,2.290909090909091
41,122.0,55.0,96.0,2.2181818181818183
42,120.0,55.0,94.0,2.1818181818181817
43,117.0,55.0,95.0,2.1272727272727274
44,115.0,55.0,98.0,2.090909090909091
45,114.0,56.0,99.0,2.0357142857142856
46,111.0,56.0,98.0,1.9821428571428572
47,107.0,56.0,98.0,1.9107142857142858
48,104.0,56.0,98.0,1.8571428571428572
49,103.0,56.0,99.0,1.8392857142857142
50,102.0,57.0,97.0,1.7894736842105263
51,97.0,57.0,98.0,1.7017543859649122
52,95.0,58.0,99.0,1.6379310344827587
53,93.0,59.0,99.0,1.576271186440678
54,91.0,59.0,98.0,1.5423728813559323
55,89.0,59.0,96.0,1.5084745762711864
56,88.0,59.0,97.0,1.4915254237288136
57,88.0,60.0,100.0,1.4666666666666666
58,87.0,60.0,96.0,1.45
59,85.0,60.0,96.0,1.4166666666666667
60,82.0,60.0,96.0,1.3666666666666667
61,82.0,60.0,98.0,1.3666666666666667
62,82.0,61.0,99.0,1.3442622950819672
63,81.0,61.0,99.0,1.3278688524590163
64,77.0,62.0,99.0,1.2419354838709677
65,75.0,62.0,99.0,1.2096774193548387
66,76.0,62.0,98.0,1.2258064516129032
67,75.0,63.0,98.0,1.1904761904761905
68,73.0,63.0,99.0,1.1587301587301588
69,71.0,63.0,98.0,1.126984126984127
70,69.0,64.0,97.0,1.078125
71,69.0,65.0,98.0,1.0615384615384615
72,67.0,65.0,98.0,1.0307692307692307
73,67.0,65.0,98.0,1.0307692307692307
74,68.0,65.0,99.0,1.0461538461538462
75,67.0,65.0,97.0,1.0307692307692307
76,66.0,65.0,96.0,1.0153846153846153
77,64.0,65.0,98.0,0.9846153846153847
78,64.0,66.0,98.0,0.9696969696969697
79,63.0,66.0,98.0,0.9545454545454546
80,62.0,67.0,99.0,0.9253731343283582
81,60.0,68.0,99.0,0.8823529411764706
82,59.0,68.0,99.0,0.8676470588235294
83,55.0,68.0,98.0,0.8088235294117647
84,54.0,68.0,97.0,0.7941176470588235
85,53.0,68.0,99.0,0.7794117647058824
86,51.0,69.0,98.0,0.7391304347826086
87,48.0,69.0,97.0,0.6956521739130435
88,47.0,69.0,100.0,0.6811594202898551
89,45.0,69.0,100.0,0.6521739130434783
90,44.0,69.0,100.0,0.6376811594202898
91,42.0,69.0,99.0,0.6086956521739131
92,43.0,70.0,100.0,0.6142857142857143
93,42.0,70.0,100.0,0.6
94,41.0,71.0,97.0,0.5774647887323944
95,40.0,72.0,100.0,0.5555555555555556
96,38.0,73.0,98.0,0.5205479452054794
97,39.0,73.0,100.0,0.5342465753424658
98,38.0,73.0,99.0,0.5205479452054794
99,38.0,74.0,98.0,0.5135135135135135
100,36.0,74.0,98.0,0.4864864864864865
101,36.0,74.0,96.0,0.4864864864864865
102,34.0,74.0,100.0,0.4594594594594595
103,32.0,75.0,99.0,0.4266666666666667
104,32.0,75.0,98.0,0.4266666666666667
105,31.0,75.0,99.0,0.41333333333333333
106,30.0,76.0,99.0,0.39473684210526316
107,28.0,76.0,99.0,0.3684210526315789
108,29.0,77.0,100.0,0.37662337662337664
109,27.0,78.0,100.0,0.34615384615384615
110,25.0,79.0,99.0,0.31645569620253167
111,24.0,79.0,100.0,0.3037974683544304
112,23.0,79.0,99.0,0.2911392405063291
113,23.0,79.0,99.0,0.2911392405063291
114,22.0,79.0,98.0,0.27848101265822783
115,23.0,79.0,99.0,0.2911392405063291
116,23.0,79.0,99.0,0.2911392405063291
117,23.0,80.0,100.0,0.2875
118,22.0,81.0,100.0,0.2716049382716049
119,21.0,81.0,99.0,0.25925925925925924
120,22.0,82.0,96.0,0.2682926829268293
121,22.0,83.0,100.0,0.26506024096385544
122,22.0,83.0,100.0,0.26506024096385544
123,21.0,83.0,100.0,0.25301204819277107
124,22.0,83.0,100.0,0.26506024096385544
125,19.0,83.0,99.0,0.2289156626506024
126,19.0,83.0,100.0,0.2289156626506024
127,18.0,83.0,100.0,0.21686746987951808
128,18.0,83.0,100.0,0.21686746987951808
129,19.0,83.0,100.0,0.2289156626506024
130,19.0,84.0,100.0,0.2261904761904762
131,20.0,84.0,99.0,0.23809523809523808
132,21.0,84.0,98.0,0.25
133,22.0,84.0,100.0,0.2619047619047619
134,20.0,84.0,99.0,0.23809523809523808
135,20.0,84.0,99.0,0.23809523809523808
136,21.0,84.0,99.0,0.25
137,20.0,85.0,99.0,0.23529411764705882
138,19.0,86.0,99.0,0.22093023255813954
139,17.0,87.0,100.0,0.19540229885057472
140,17.0,88.0,99.0,0.19318181818181818
141,18.0,88.0,100.0,0.20454545454545456
142,18.0,88.0,100.0,0.20454545454545456
143,17.0,88.0,100.0,0.19318181818181818
144,17.0,89.0,100.0,0.19101123595505617
145,17.0,89.0,99.0,0.19101123595505617
146,17.0,89.0,99.0,0.19101123595505617
147,16.0,89.0,100.0,0.1797752808988764
148,16.0,89.0,99.0,0.1797752808988764
149,15.0,89.0,100.0,0.16853932584269662
150,15.0,89.0,99.0,0.16853932584269662
151,13.0,89.0,100.0,0.14606741573033707
152,14.0,89.0,99.0,0.15730337078651685
153,13.0,89.0,100.0,0.14606741573033707
154,12.0,89.0,98.0,0.1348314606741573
155,13.0,89.0,98.0,0.14606741573033707
156,14.0,90.0,100.0,0.15555555555555556
157,13.0,91.0,99.0,0.14285714285714285
158,14.0,91.0,100.0,0.15384615384615385
159,14.0,92.0,100.0,0.15217391304347827
160,15.0,92.0,100.0,0.16304347826086957
161,16.0,92.0,100.0,0.17391304347826086
162,16.0,92.0,99.0,0.17391304347826086
163,16.0,92.0,100.0,0.17391304347826086
164,15.0,92.0,98.0,0.16304347826086957
165,16.0,92.0,100.0,0.17391304347826086
166,15.0,92.0,100.0,0.16304347826086957
167,14.0,92.0,100.0,0.15217391304347827
168,15.0,92.0,100.0,0.16304347826086957
169,14.0,92.0,100.0,0.15217391304347827
170,13.0,92.0,100.0,0.14130434782608695
171,13.0,92.0,97.0,0.14130434782608695
172,13.0,92.0,99.0,0.14130434782608695
173,14.0,92.0,99.0,0.15217391304347827
174,15.0,92.0,99.0,0.16304347826086957
175,15.0,93.0,100.0,0.16129032258064516
176,16.0,93.0,99.0,0.17204301075268819
177,16.0,93.0,98.0,0.17204301075268819
178,15.0,94.0,100.0,0.1595744680851064
179,15.0,94.0,98.0,0.1595744680851064
180,15.0,95.0,100.0,0.15789473684210525
181,15.0,95.0,100.0,0.15789473684210525
182,14.0,95.0,100.0,0.14736842105263157
183,15.0,95.0,99.0,0.15789473684210525
184,14.0,95.0,99.0,0.14736842105263157
185,14.0,95.0,100.0,0.14736842105263157
186,15.0,96.0,99.0,0.15625
187,15.0,96.0,100.0,0.15625
188,16.0,96.0,99.0,0.16666666666666666
189,16.0,96.0,99.0,0.16666666666666666
190,16.0,97.0,100.0,0.16494845360824742
191,16.0,97.0,99.0,0.16494845360824742
192,15.0,97.0,100.0,0.15463917525773196
193,15.0,98.0,100.0,0.15306122448979592
194,13.0,98.0,99.0,0.1326530612244898
195,14.0,99.0,100.0,0.1414141414141414
196,14.0,99.0,100.0,0.1414141414141414
197,15.0,99.0,99.0,0.15151515151515152
198,15.0,99.0,100.0,0.15151515151515152
199,15.0,99.0,100.0,0.15151515151515152
200,13.0,99.0,100.0,0.13131313131313133
201,14.0,97.0,98.0,0.14432989690721648
202,13.0,97.0,100.0,0.13402061855670103
203,13.0,98.0,99.0,0.1326530612244898
204,14.0,98.0,100.0,0.14285714285714285
205,14.0,98.0,99.0,0.14285714285714285
206,15.0,98.0,99.0,0.15306122448979592
207,16.0,98.0,100.0,0.16326530612244897
208,17.0,98.0,100.0,0.17346938775510204
209,18.0,98.0,100.0,0.1836734693877551
210,17.0,99.0,100.0,0.1717171717171717
211,17.0,99.0,99.0,0.1717171717171717
212,16.0,99.0,99.0,0.16161616161616163
213,14.0,100.0,100.0,0.14
214,14.0,101.0,99.0,0.13861386138613863
215,15.0,101.0,100.0,0.1485148514851485
216,16.0,101.0,99.0,0.15841584158415842
217,15.0,101.0,98.0,0.1485148514851485
218,14.0,100.0,100.0,0.14
219,13.0,100.0,99.0,0.13
220,13.0,101.0,100.0,0.12871287128712872
221,13.0,100.0,99.0,0.13
222,14.0,99.0,100.0,0.1414141414141414
223,14.0,97.0,100.0,0.14432989690721648
224,14.0,96.0,100.0,0.14583333333333334
225,14.0,94.0,100.0,0.14893617021276595
226,14.0,92.0,100.0,0.15217391304347827
227,14.0,93.0,100.0,0.15053763440860216
228,14.0,92.0,100.0,0.15217391304347827
229,13.0,93.0,99.0,0.13978494623655913
230,14.0,93.0,100.0,0.15053763440860216
231,15.0,94.0,100.0,0.1595744680851064
232,15.0,93.0,99.0,0.16129032258064516
233,15.0,93.0,100.0,0.16129032258064516
234,15.0,93.0,100.0,0.16129032258064516
235,15.0,94.0,98.0,0.1595744680851064
236,16.0,93.0,100.0,0.17204301075268819
237,16.0,93.0,99.0,0.17204301075268819
238,17.0,91.0,98.0,0.18681318681318682
239,16.0,92.0,100.0,0.17391304347826086
240,15.0,90.0,100.0,0.16666666666666666
241,16.0,89.0,99.0,0.1797752808988764
242,16.0,89.0,100.0,0.1797752808988764
243,14.0,89.0,99.0,0.15730337078651685
244,13.0,89.0,100.0,0.14606741573033707
245,14.0,90.0,100.0,0.15555555555555556
246,14.0,89.0,100.0,0.15730337078651685
247,15.0,88.0,100.0,0.17045454545454544
248,16.0,89.0,99.0,0.1797752808988764
249,16.0,89.0,100.0,0.1797752808988764
250,16.0,88.0,100.0,0.18181818181818182
251,16.0,88.0,99.0,0.18181818181818182
252,17.0,88.0,99.0,0.19318181818181818
253,18.0,88.0,100.0,0.20454545454545456
254,18.0,88.0,98.0,0.20454545454545456
255,18.0,87.0,99.0,0.20689655172413793
256,18.0,87.0,99.0,0.20689655172413793
257,17.0,86.0,100.0,0.19767441860465115
258,17.0,84.0,100.0,0.20238095238095238
259,15.0,83.0,100.0,0.18072289156626506
260,15.0,83.0,100.0,0.18072289156626506
261,14.0,83.0,99.0,0.1686746987951807
262,15.0,81.0,99.0,0.18518518518518517
263,15.0,81.0,99.0,0.18518518518518517
264,15.0,80.0,100.0,0.1875
265,15.0,80.0,98.0,0.1875
266,15.0,80.0,100.0,0.1875
267,13.0,79.0,99.0,0.16455696202531644
268,13.0,79.0,99.0,0.16455696202531644
269,12.0,80.0,100.0,0.15
270,12.0,79.0,100.0,0.1518987341772152
271,12.0,78.0,99.0,0.15384615384615385
272,13.0,77.0,100.0,0.16883116883116883
273,14.0,77.0,99.0,0.18181818181818182
274,13.0,75.0,100.0,0.17333333333333334
275,14.0,76.0,100.0,0.18421052631578946
276,15.0,74.0,99.0,0.20270270270270271
277,16.0,74.0,99.0,0.21621621621621623
278,16.0,73.0,98.0,0.2191780821917808
279,17.0,74.0,100.0,0.22972972972972974
280,17.0,72.0,100.0,0.2361111111111111
281,16.0,72.0,98.0,0.2222222222222222
282,17.0,72.0,100.0,0.2361111111111111
283,17.0,70.0,100.0,0.24285714285714285
284,16.0,70.0,100.0,0.22857142857142856
285,16.0,70.0,100.0,0.22857142857142856
286,16.0,70.0,99.0,0.22857142857142856
287,17.0,69.0,97.0,0.2463768115942029
288,15.0,69.0,100.0,0.21739130434782608
289,15.0,69.0,100.0,0.21739130434782608
290,15.0,69.0,98.0,0.21739130434782608
291,15.0,69.0,99.0,0.21739130434782608
292,16.0,68.0,100.0,0.23529411764705882
293,14.0,67.0,100.0,0.208955223880597
294,14.0,67.0,100.0,0.208955223880597
295,14.0,66.0,100.0,0.21212121212121213
296,14.0,66.0,100.0,0.21212121212121213
297,14.0,65.0,99.0,0.2153846153846154
298,15.0,65.0,100.0,0.23076923076923078
299,13.0,64.0,100.0,0.203125
300,14.0,63.0,99.0,0.2222222222222222
301,15.0,63.0,99.0,0.23809523809523808
302,16.0,62.0,99.0,0.25806451612903225
303,17.0,61.0,100.0,0.2786885245901639
304,17.0,60.0,99.0,0.2833333333333333
305,18.0,59.0,100.0,0.3050847457627119
306,18.0,58.0,100.0,0.3103448275862069
307,17.0,58.0,98.0,0.29310344827586204
308,17.0,56.0,98.0,0.30357142857142855
309,18.0,56.0,99.0,0.32142857142857145
310,15.0,56.0,99.0,0.26785714285714285
311,16.0,56.0,98.0,0.2857142857142857
312,17.0,54.0,98.0,0.3148148148148148
313,17.0,55.0,98.0,0.3090909090909091
314,16.0,55.0,97.0,0.2909090909090909
315,16.0,55.0,98.0,0.2909090909090909
316,16.0,55.0,99.0,0.2909090909090909
317,16.0,55.0,99.0,0.2909090909090909
318,16.0,55.0,99.0,0.2909090909090909
319,16.0,55.0,99.0,0.2909090909090909
320,17.0,56.0,100.0,0.30357142857142855
321,17.0,54.0,99.0,0.3148148148148148
322,17.0,54.0,99.0,0.3148148148148148
323,15.0,54.0,100.0,0.2777777777777778
324,13.0,54.0,100.0,0.24074074074074073
325,14.0,53.0,99.0,0.2641509433962264
326,13.0,51.0,100.0,0.2549019607843137
327,13.0,51.0,99.0,0.2549019607843137
328,13.0,51.0,100.0,0.2549019607843137
329,13.0,51.0,100.0,0.2549019607843137
330,14.0,52.0,100.0,0.2692307692307692
331,13.0,53.0,99.0,0.24528301886792453
332,13.0,53.0,100.0,0.24528301886792453
333,13.0,53.0,100.0,0.24528301886792453
334,13.0,53.0,100.0,0.24528301886792453
335,14.0,53.0,100.0,0.2641509433962264
336,14.0,53.0,100.0,0.2641509433962264
337,14.0,53.0,100.0,0.2641509433962264
338,13.0,53.0,100.0,0.24528301886792453
339,14.0,52.0,100.0,0.2692307692307692
340,15.0,51.0,98.0,0.29411764705882354
341,15.0,51.0,99.0,0.29411764705882354
342,16.0,51.0,97.0,0.3137254901960784
343,17.0,51.0,99.0,0.3333333333333333
344,16.0,52.0,99.0,0.3076923076923077
345,17.0,52.0,100.0,0.3269230769230769
346,17.0,52.0,100.0,0.3269230769230769
347,18.0,52.0,100.0,0.34615384615384615
348,19.0,51.0,100.0,0.37254901960784315
349,20.0,51.0,100.0,0.39215686274509803
350,21.0,49.0,98.0,0.42857142857142855
351,19.0,49.0,100.0,0.3877551020408163
352,18.0,49.0,99.0,0.3673469387755102
353,18.0,49.0,99.0,0.3673469387755102
354,18.0,48.0,100.0,0.375
355,18.0,48.0,98.0,0.375
356,18.0,48.0,100.0,0.375
357,18.0,48.0,98.0,0.375
358,18.0,47.0,99.0,0.3829787234042553
359,17.0,47.0,98.0,0.3617021276595745
360,16.0,47.0,100.0,0.3404255319148936
361,16.0,47.0,100.0,0.3404255319148936
362,17.0,47.0,100.0,0.3617021276595745
363,17.0,47.0,100.0,0.3617021276595745
364,17.0,47.0,100.0,0.3617021276595745
365,16.0,47.0,100.0,0.3404255319148936
366,14.0,47.0,99.0,0.2978723404255319
367,13.0,48.0,99.0,0.2708333333333333
368,13.0,49.0,99.0,0.2653061224489796
369,13.0,49.0,100.0,0.2653061224489796
370,12.0,49.0,99.0,0.24489795918367346
371,12.0,49.0,100.0,0.24489795918367346
372,13.0,49.0,100.0,0.2653061224489796
373,14.0,49.0,100.0,0.2857142857142857
374,14.0,50.0,100.0,0.28
375,14.0,50.0,100.0,0.28
376,14.0,49.0,99.0,0.2857142857142857
377,14.0,49.0,98.0,0.2857142857142857
378,14.0,48.0,99.0,0.2916666666666667
379,14.0,48.0,99.0,0.2916666666666667
380,15.0,48.0,99.0,0.3125
381,15.0,49.0,99.0,0.30612244897959184
382,15.0,48.0,100.0,0.3125
383,16.0,48.0,100.0,0.3333333333333333
384,16.0,49.0,100.0,0.32653061224489793
385,16.0,49.0,100.0,0.32653061224489793
386,14.0,48.0,100.0,0.2916666666666667
387,14.0,49.0,100.0,0.2857142857142857
388,14.0,50.0,99.0,0.28
389,14.0,50.0,99.0,0.28
390,14.0,49.0,100.0,0.2857142857142857
391,13.0,49.0,100.0,0.2653061224489796
392,13.0,50.0,100.0,0.26
393,14.0,49.0,99.0,0.2857142857142857
394,13.0,49.0,100.0,0.2653061224489796
395,13.0,49.0,98.0,0.2653061224489796
396,14.0,49.0,100.0,0.2857142857142857
397,15.0,49.0,100.0,0.30612244897959184
398,14.0,49.0,100.0,0.2857142857142857
399,15.0,49.0,98.0,0.30612244897959184
400,15.0,49.0,99.0,0.30612244897959184
401,15.0,49.0,100.0,0.30612244897959184
402,16.0,50.0,100.0,0.32
403,15.0,51.0,100.0,0.29411764705882354
404,16.0,51.0,99.0,0.3137254901960784
405,15.0,50.0,100.0,0.3
406,16.0,50.0,99.0,0.32
407,16.0,51.0,99.0,0.3137254901960784
408,15.0,51.0,100.0,0.29411764705882354
409,15.0,51.0,99.0,0.29411764705882354
410,15.0,50.0,100.0,0.3
411,14.0,50.0,99.0,0.28
412,15.0,50.0,100.0,0.3
413,14.0,50.0,99.0,0.28
414,14.0,50.0,100.0,0.28
415,14.0,49.0,100.0,0.2857142857142857
416,15.0,48.0,98.0,0.3125
417,14.0,48.0,99.0,0.2916666666666667
418,15.0,48.0,100.0,0.3125
419,15.0,48.0,99.0,0.3125
420,15.0,48.0,99.0,0.3125
421,16.0,47.0,100.0,0.3404255319148936
422,15.0,48.0,99.0,0.3125
423,15.0,48.0,99.0,0.3125
424,15.0,47.0,98.0,0.3191489361702128
425,16.0,47.0,100.0,0.3404255319148936
426,17.0,47.0,98.0,0.3617021276595745
427,17.0,47.0,100.0,0.3617021276595745
428,16.0,47.0,98.0,0.3404255319148936
429,17.0,48.0,99.0,0.3541666666666667
430,17.0,48.0,100.0,0.3541666666666667
431,16.0,48.0,100.0,0.3333333333333333
432,16.0,48.0,99.0,0.3333333333333333
433,16.0,47.0,99.0,0.3404255319148936
434,16.0,47.0,100.0,0.3404255319148936
435,15.0,47.0,99.0,0.3191489361702128
436,16.0,47.0,100.0,0.3404255319148936
437,15.0,47.0,100.0,0.3191489361702128
438,16.0,47.0,100.0,0.3404255319148936
439,17.0,46.0,99.0,0.3695652173913043
440,17.0,47.0,98.0,0.3617021276595745
441,16.0,48.0,100.0,0.3333333333333333
442,15.0,48.0,100.0,0.3125
443,16.0,49.0,100.0,0.32653061224489793
444,16.0,49.0,99.0,0.32653061224489793
445,15.0,47.0,100.0,0.3191489361702128
446,15.0,46.0,100.0,0.32608695652173914
447,16.0,46.0,99.0,0.34782608695652173
448,17.0,46.0,100.0,0.3695652173913043
449,17.0,45.0,98.0,0.37777777777777777
450,18.0,45.0,97.0,0.4
451,19.0,45.0,98.0,0.4222222222222222
452,19.0,44.0,100.0,0.4318181818181818
453,19.0,45.0,99.0,0.4222222222222222
454,20.0,45.0,100.0,0.4444444444444444
455,21.0,44.0,100.0,0.4772727272727273
456,21.0,45.0,98.0,0.4666666666666667
457,20.0,45.0,98.0,0.4444444444444444
458,20.0,45.0,99.0,0.4444444444444444
459,21.0,45.0,97.0,0.4666666666666667
460,21.0,45.0,98.0,0.4666666666666667
461,21.0,46.0,99.0,0.45652173913043476
462,21.0,46.0,99.0,0.45652173913043476
463,22.0,46.0,99.0,0.4782608695652174
464,23.0,46.0,99.0,0.5
465,23.0,46.0,99.0,0.5
466,23.0,47.0,98.0,0.48936170212765956
467,21.0,47.0,100.0,0.44680851063829785
468,21.0,47.0,99.0,0.44680851063829785
469,21.0,46.0,98.0,0.45652173913043476
470,21.0,46.0,98.0,0.45652173913043476
471,22.0,46.0,98.0,0.4782608695652174
472,21.0,47.0,100.0,0.44680851063829785
473,19.0,47.0,100.0,0.40425531914893614
474,17.0,47.0,100.0,0.3617021276595745
475,17.0,47.0,99.0,0.3617021276595745
476,16.0,46.0,100.0,0.34782608695652173
477,15.0,47.0,99.0,0.3191489361702128
478,15.0,47.0,100.0,0.3191489361702128
479,15.0,47.0,100.0,0.3191489361702128
480,15.0,47.0,100.0,0.3191489361702128
481,16.0,47.0,100.0,0.3404255319148936
482,17.0,48.0,99.0,0.3541666666666667
483,17.0,48.0,100.0,0.3541666666666667
484,17.0,48.0,99.0,0.3541666666666667
485,16.0,47.0,97.0,0.3404255319148936
486,17.0,47.0,99.0,0.3617021276595745
487,17.0,47.0,100.0,0.3617021276595745
488,18.0,47.0,100.0,0.3829787234042553
489,17.0,47.0,100.0,0.3617021276595745
490,18.0,47.0,100.0,0.3829787234042553
491,18.0,47.0,98.0,0.3829787234042553
492,18.0,48.0,100.0,0.375
493,18.0,48.0,99.0,0.375
494,18.0,49.0,99.0,0.3673469387755102
495,17.0,49.0,100.0,0.3469387755102041
496,18.0,49.0,97.0,0.3673469387755102
497,18.0,49.0,99.0,0.3673469387755102
498,18.0,50.0,99.0,0.36
499,17.0,50.0,98.0,0.34
500,14.0,50.0,100.0,0.28
501,15.0,51.0,100.0,0.29411764705882354
502,15.0,52.0,100.0,0.28846153846153844
503,15.0,52.0,98.0,0.28846153846153844
504,15.0,53.0,100.0,0.2830188679245283
505,15.0,52.0,99.0,0.28846153846153844
506,15.0,53.0,99.0,0.2830188679245283
507,16.0,53.0,99.0,0.3018867924528302
508,16.0,53.0,100.0,0.3018867924528302
509,16.0,52.0,99.0,0.3076923076923077
510,16.0,52.0,100.0,0.3076923076923077
511,17.0,52.0,100.0,0.3269230769230769
512,18.0,52.0,99.0,0.34615384615384615
513,18.0,53.0,100.0,0.33962264150943394
514,18.0,53.0,99.0,0.33962264150943394
515,19.0,54.0,100.0,0.35185185185185186
516,19.0,55.0,100.0,0.34545454545454546
517,18.0,54.0,99.0,0.3333333333333333
518,16.0,54.0,98.0,0.2962962962962963
519,17.0,54.0,98.0,0.3148148148148148
520,15.0,55.0,99.0,0.2727272727272727
521,16.0,55.0,98.0,0.2909090909090909
522,15.0,55.0,100.0,0.2727272727272727
523,15.0,55.0,99.0,0.2727272727272727
524,15.0,55.0,99.0,0.2727272727272727
525,15.0,55.0,99.0,0.2727272727272727
526,14.0,55.0,99.0,0.2545454545454545
527,14.0,55.0,99.0,0.2545454545454545
528,15.0,55.0,98.0,0.2727272727272727
529,15.0,54.0,100.0,0.2777777777777778
530,15.0,52.0,97.0,0.28846153846153844
531,16.0,52.0,100.0,0.3076923076923077
532,15.0,52.0,100.0,0.28846153846153844
533,14.0,52.0,99.0,0.2692307692307692
534,14.0,52.0,99.0,0.2692307692307692
535,14.0,52.0,99.0,0.2692307692307692
536,14.0,52.0,99.0,0.2692307692307692
537,14.0,51.0,99.0,0.27450980392156865
538,14.0,51.0,98.0,0.27450980392156865
539,14.0,51.0,98.0,0.27450980392156865
540,15.0,51.0,100.0,0.29411764705882354
541,16.0,51.0,98.0,0.3137254901960784
542,16.0,51.0,100.0,0.3137254901960784
543,16.0,52.0,100.0,0.3076923076923077
544,16.0,52.0,99.0,0.3076923076923077
545,16.0,53.0,100.0,0.3018867924528302
546,17.0,53.0,100.0,0.32075471698113206
547,16.0,53.0,100.0,0.3018867924528302
548,16.0,53.0,100.0,0.3018867924528302
549,15.0,53.0,100.0,0.2830188679245283
550,14.0,53.0,100.0,0.2641509433962264
551,15.0,53.0,98.0,0.2830188679245283
